ItemName,Brand,Category,StockQty,ArrivalDate,ExpiryDate,DaysUntilExpiry,DailySaleAvg,SpoilageChance,SuggestedAction,StoreLocation,IsSpoiled,OnPromotion,TemperatureSensitive,StoreID,Zone,TemperatureSupport,DistanceToNearestStore,AvgDailySaleInNearbyStores
Bingo Mad Angles,ITC,Snacks,92,2025-06-20,2025-06-28,0.5,12.1,1.0,donate,Chennai,False,No,False,Chennai_0,Unknown,Unknown,6.1,13.178196371286637
Multigrain Cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_0,Unknown,Unknown,5.0,8.98111835739282
Nestlé Yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,0.5,20.1,1.0,donate,Mumbai,False,Yes,True,Mumbai_0,West,False,10.3,17.169272791481962
Tomato 1kg,Local Farmer,Produce,204,2025-06-18,2025-06-21,0.5,9.7,1.0,donate,Kanpur,False,Yes,True,Kanpur_1,Unknown,Unknown,8.8,11.07599655764262
Banana 6pcs,Local Farmer,Produce,154,2025-06-14,2025-06-21,0.5,5.6,1.0,donate,Mumbai,True,Yes,True,Mumbai_1,West,False,10.4,4.641459733319056
Nestlé Yogurt 150g,Nestlé,Dairy,262,2025-06-16,2025-06-20,0.5,2.0,1.0,donate,Delhi,True,No,True,Delhi_0,North,True,12.8,1.9979465960935088
Lays Chips 100g,PepsiCo,Snacks,232,2025-06-23,2025-07-03,5.0,9.7,0.96,donate,Kanpur,False,No,False,Kanpur_2,Unknown,Unknown,6.1,8.330349530467792
Mutton Mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_0,Unknown,Unknown,14.7,25.49873415828835
Amul Milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,2.0,4.6,0.26,none,Chennai,False,No,True,Chennai_1,Unknown,Unknown,2.7,4.323283412622314
Chicken Breast 500g,Godrej,Meat,260,2025-06-25,2025-07-05,7.0,13.0,0.57,monitor,Delhi,False,Yes,True,Delhi_1,North,True,4.3,13.056745783367658
Brown Bun Pack,Harvest Gold,Bakery,32,2025-06-24,2025-06-27,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_2,North,True,13.4,18.638055308412195
Mother Dairy Butter 100g,Mother Dairy,Dairy,220,2025-06-19,2025-06-23,0.5,13.7,1.0,donate,Kanpur,False,No,True,Kanpur_3,Unknown,Unknown,11.7,13.74722070854663
Lays Chips 100g,PepsiCo,Snacks,144,2025-06-14,2025-06-24,0.5,13.6,1.0,donate,Chennai,True,No,False,Chennai_2,Unknown,Unknown,8.6,15.228350037244736
Kurkure Masala,PepsiCo,Snacks,59,2025-06-20,2025-06-23,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_3,Unknown,Unknown,13.1,12.034553856048332
Brown Bun Pack,Harvest Gold,Bakery,90,2025-06-26,2025-07-08,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_4,Unknown,Unknown,12.1,21.38176281187417
Spinach Bunch,Local Farmer,Produce,253,2025-06-12,2025-06-15,0.5,12.6,1.0,donate,Kanpur,True,Yes,True,Kanpur_4,Unknown,Unknown,11.0,12.784893077313455
Spinach Bunch,Local Farmer,Produce,145,2025-06-15,2025-06-22,0.5,15.8,1.0,donate,Kanpur,True,No,True,Kanpur_5,Unknown,Unknown,14.6,13.67137272910468
Nestlé Yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,0.5,21.8,1.0,donate,Bangalore,False,No,True,Bangalore_1,Unknown,Unknown,11.8,17.509534591270622
Brown Bun Pack,Harvest Gold,Bakery,247,2025-06-25,2025-07-03,5.0,10.0,0.99,donate,Chennai,False,No,False,Chennai_5,Unknown,Unknown,11.7,9.18473360546113
Fish Fillet 300g,FreshCatch,Meat,228,2025-06-23,2025-06-27,0.5,20.6,1.0,donate,Bangalore,True,No,True,Bangalore_2,Unknown,Unknown,8.8,18.62830601996076
Mutton Mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_3,North,True,3.9,1.7582630979301153
Bingo Mad Angles,ITC,Snacks,63,2025-06-25,2025-07-02,4.0,14.9,0.21,none,Mumbai,False,No,False,Mumbai_2,West,False,7.8,13.991406596879864
Kurkure Masala,PepsiCo,Snacks,283,2025-06-12,2025-06-15,0.5,12.9,1.0,donate,Chennai,True,No,False,Chennai_6,Unknown,Unknown,6.2,14.039093464301198
Lays Chips 100g,PepsiCo,Snacks,116,2025-06-14,2025-06-22,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_6,Unknown,Unknown,5.5,7.872625900508424
Chicken Breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,0.5,10.3,1.0,donate,Delhi,False,Yes,True,Delhi_4,North,True,12.4,12.047109475475253
